file,verdict,disposition,new_path,named_by
.gitignore,KEEP-P5,REWRITE-IN-PLACE,.gitignore,
README.md,ALIVE,REWRITE-IN-PLACE,README.md,paper1/code/plot_pareto_payload.py
paper1/.gitignore,DELETE,DELETE,,
paper1/CLAIMS.md,LIVE-ROOT,MOVE,docs/claims.md,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/extract_claims.py
paper1/PROTOCOL.md,LIVE-ROOT,MOVE,docs/experiment_protocol.md,paper1/REPRODUCE.md;paper1/code/p2_dataprep/check_leakage.py;paper1/code/p2_dataprep/expand_grid_clean.py
paper1/README.md,DELETE,DELETE,,paper1/code/plot_pareto_payload.py
paper1/REPRODUCE.md,LIVE-ROOT,MOVE,docs/reproducibility.md,
paper1/analysis_tools/MAP_REPRODUCTION_CHANGELOG.md,KEEP-P5,MOVE,baselines/importance_map_jscc/CHANGELOG.md,
paper1/analysis_tools/build_bler_sionna.py,LIVE-ROOT,SPLIT,projects/ca_tosg/communication/ldpc_qam.py + tools/build_bler_table.py,paper1/PROTOCOL.md;paper1/analysis_tools/build_bler_sionna_ofdm.py
paper1/analysis_tools/build_bler_sionna_ofdm.py,LIVE-ROOT,SPLIT,projects/ca_tosg/communication/channel.py + tools/build_bler_table.py,paper1/PROTOCOL.md
paper1/analysis_tools/build_ldpc_qam_bler_table.py,DELETE,DELETE,,
paper1/analysis_tools/inference_subset.py,ALIVE-DOC,MOVE,baselines/importance_map_jscc/inference_subset.py,
paper1/analysis_tools/ldpc_qam_physical_sanity_n1000_ebn0.py,KEEP-P5,MOVE,tests/test_channel.py,
paper1/analysis_tools/make_fig1_framework.py,DELETE,DELETE,,
paper1/analysis_tools/plot_bler_compare.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/figures/plot_bler_compare.py,
paper1/analysis_tools/plot_paper_figures.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/figures/plot_paper_figures.py,
paper1/analysis_tools/run_awgn_baseline_FIX.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_awgn_baseline_FIX.sh,
paper1/analysis_tools/run_awgn_learned_compare.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_awgn_learned_compare.sh,
paper1/analysis_tools/run_awgn_stage2_gate.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_awgn_stage2_gate.sh,
paper1/analysis_tools/run_codec32_reproduction.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_codec32_reproduction.sh,
paper1/analysis_tools/run_full_reproduction.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_full_reproduction.sh,
paper1/analysis_tools/run_jscc_eval.py,KEEP-P5,MOVE,baselines/importance_map_jscc/run_jscc_eval.py,
paper1/analysis_tools/run_learned_rayleigh_ofdm.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_learned_rayleigh_ofdm.sh,
paper1/analysis_tools/run_paper_faithful.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_paper_faithful.sh,
paper1/analysis_tools/run_paper_faithful_figs.sh,KEEP-P5,MOVE,baselines/importance_map_jscc/scripts/run_paper_faithful_figs.sh,
paper1/analysis_tools/run_separate_coding_sweep.py,KEEP-P5,MOVE,baselines/importance_map_jscc/run_separate_coding_sweep.py,
paper1/analysis_tools/stage1_pretrain_jscc_reconstruction_sttopk.py,KEEP-P5,MOVE,baselines/importance_map_jscc/stage1_pretrain_jscc_reconstruction_sttopk.py,
paper1/analysis_tools/stage2_whole_network_map_jscc.py,KEEP-P5,MOVE,baselines/importance_map_jscc/stage2_whole_network_map_jscc.py,
paper1/code/canonical_rescore.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/canonical_rescore.py,
paper1/code/extra_experiments/README.md,ALIVE,MOVE,projects/ca_tosg/evaluation/ablations/README.md,paper1/code/plot_pareto_payload.py
paper1/code/extra_experiments/_common.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/_common.py,
paper1/code/extra_experiments/a1_pareto.py,ALIVE,MOVE,projects/ca_tosg/evaluation/ablations/a1_pareto.py,paper1/code/make_dataset.py
paper1/code/extra_experiments/a2_difficulty.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/ablations/a2_difficulty.py,paper1/REPRODUCE.md
paper1/code/extra_experiments/a3_subsets.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/a3_subsets.py,
paper1/code/extra_experiments/a4_jscc_aware.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/a4_jscc_aware.py,
paper1/code/extra_experiments/a5_causality.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/a5_causality.py,
paper1/code/extra_experiments/a6_l_reliability.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/a6_l_reliability.py,
paper1/code/extra_experiments/a7_ablation.py,ALIVE,MOVE,projects/ca_tosg/evaluation/ablations/a7_ablation.py,paper1/REPRODUCE.md
paper1/code/extra_experiments/a8_models.py,ALIVE,MOVE,projects/ca_tosg/evaluation/ablations/a8_models.py,paper1/code/rf_latency_benchmark.py
paper1/code/extra_experiments/a9_hardening.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/a9_hardening.py,
paper1/code/extra_experiments/c_channels.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/c_channels.py,
paper1/code/extra_experiments/jscc_perframe/build_channel_codec_ap.py,KEEP-P5,MOVE,baselines/importance_map_jscc/perframe/build_channel_codec_ap.py,
paper1/code/extra_experiments/jscc_perframe/build_two_regime_edge.py,ALIVE,MOVE,baselines/importance_map_jscc/perframe/build_two_regime_edge.py,paper1/code/extra_experiments/jscc_perframe/build_two_regime_edge_clean.py
paper1/code/extra_experiments/jscc_perframe/build_two_regime_edge_clean.py,ALIVE,MOVE,baselines/importance_map_jscc/perframe/build_two_regime_edge_clean.py,paper1/REPRODUCE.md;paper1/results/STALE_FINGERPRINTS.md
paper1/code/extra_experiments/jscc_perframe/jscc_selector_compare.py,KEEP-P5,MOVE,baselines/importance_map_jscc/perframe/jscc_selector_compare.py,
paper1/code/extra_experiments/jscc_perframe/jscc_sweep.py,ALIVE,MOVE,baselines/importance_map_jscc/perframe/jscc_sweep.py,paper1/REPRODUCE.md
paper1/code/extra_experiments/jscc_perframe/kfold_two_regime_diag.py,ALIVE,MOVE,baselines/importance_map_jscc/perframe/kfold_two_regime_diag.py,paper1/REPRODUCE.md;paper1/results/STALE_FINGERPRINTS.md
paper1/code/extra_experiments/jscc_perframe/make_two_regime_figure.py,LIVE-ROOT,MOVE,baselines/importance_map_jscc/perframe/make_two_regime_figure.py,paper1/REPRODUCE.md
paper1/code/extra_experiments/jscc_perframe/plot_channel_codec_ap.py,KEEP-P5,MOVE,baselines/importance_map_jscc/perframe/plot_channel_codec_ap.py,
paper1/code/extra_experiments/jscc_perframe/run_jscc_perframe.py,ALIVE-DOC,MOVE,baselines/importance_map_jscc/perframe/run_jscc_perframe.py,
paper1/code/extra_experiments/jscc_perframe/score_jscc.py,ALIVE,MOVE,baselines/importance_map_jscc/perframe/score_jscc.py,paper1/REPRODUCE.md;paper1/code/extra_experiments/jscc_perframe/build_two_regime_edge_clean.py;paper1/code/extra_experiments/jscc_perframe/jscc_sweep.py
paper1/code/extra_experiments/jscc_perframe/score_jscc_perframe.py,KEEP-P5,MOVE,baselines/importance_map_jscc/perframe/score_jscc_perframe.py,
paper1/code/extra_experiments/out/a2_difficulty_reliable.csv,DELETE,DELETE,,paper1/README.md;paper1/REPRODUCE.md;paper1/code/extra_experiments/a2_difficulty.py
paper1/code/extra_experiments/robustness.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/ablations/robustness.py,
paper1/code/extra_experiments/v3_eval.py,ALIVE,MOVE,projects/ca_tosg/evaluation/v3_eval.py,paper1/REPRODUCE.md
paper1/code/extract_claims.py,LIVE-ROOT,MOVE,tests/test_result_consistency.py,paper1/CLAIMS.md;paper1/PROTOCOL.md;paper1/REPRODUCE.md
paper1/code/gt_audit.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/gt_audit.py,
paper1/code/make_dataset.py,ALIVE,MOVE,projects/ca_tosg/datasets/opv2v.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/p2_dataprep/expand_grid_clean.py
paper1/code/p2_dataprep/_scene_map.py,ALIVE,SPLIT,projects/ca_tosg/datasets/scene_split.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/export_scene_manifest.py
paper1/code/p2_dataprep/anomaly_check.py,ALIVE,MOVE,projects/ca_tosg/evaluation/anomaly_check.py,paper1/PROTOCOL.md
paper1/code/p2_dataprep/check_leakage.py,LIVE-ROOT,MOVE,tests/test_data_leakage.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/p2_dataprep/_scene_map.py
paper1/code/p2_dataprep/eval_p2_ap.py,LIVE-ROOT,SPLIT,projects/ca_tosg/evaluation/end_to_end_ap.py + tools/evaluate_ap.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/eval_p2_deploy.py
paper1/code/p2_dataprep/eval_p2_deploy.py,LIVE-ROOT,SPLIT,projects/ca_tosg/evaluation/deployment.py + tools/evaluate_selector.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/eval_p2_ap.py;paper1/code/rf_latency_benchmark.py
paper1/code/p2_dataprep/eval_p3_sensitivity.py,LIVE-ROOT,SPLIT,projects/ca_tosg/evaluation/sensitivity.py + tools/run_sensitivity.py,
paper1/code/p2_dataprep/eval_p3c_rician_bracket.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/rician_bracket.py,
paper1/code/p2_dataprep/eval_p4a_deploy.py,LIVE-ROOT,MOVE,baselines/contextual_bandit/evaluate.py,paper1/PROTOCOL.md
paper1/code/p2_dataprep/expand_grid_clean.py,LIVE-ROOT,MOVE,projects/ca_tosg/datasets/grid_builder.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/p2_dataprep/check_leakage.py
paper1/code/p2_dataprep/export_scene_manifest.py,LIVE-ROOT,SPLIT,projects/ca_tosg/datasets/scene_split.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/p2_dataprep/check_leakage.py
paper1/code/p2_dataprep/make_r10_report.py,ALIVE,MOVE,projects/ca_tosg/evaluation/report.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/r10c_diagnostic.py
paper1/code/p2_dataprep/r10c_diagnostic.py,ALIVE,MOVE,projects/ca_tosg/evaluation/decision_log.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/anomaly_check.py;paper1/code/p2_dataprep/make_r10_report.py
paper1/code/p2_dataprep/train_p2_loso.py,LIVE-ROOT,SPLIT,projects/ca_tosg/models/selector.py + models/oracle.py + models/feature_encoder.py + tools/train_selector.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md;paper1/code/p2_dataprep/_scene_map.py
paper1/code/p2_dataprep/train_p3_variants.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/p3_variants.py,
paper1/code/p2_dataprep/train_p4a_bandit.py,LIVE-ROOT,MOVE,baselines/contextual_bandit/train.py,paper1/PROTOCOL.md;paper1/code/p2_dataprep/eval_p4a_deploy.py
paper1/code/paper_style.py,KEEP-P5,MOVE,projects/ca_tosg/utils/paper_style.py,
paper1/code/payload_audit.py,LIVE-ROOT,SPLIT,tests/test_payload.py + projects/ca_tosg/communication/payload.py,paper1/CLAIMS.md;paper1/PROTOCOL.md;paper1/REPRODUCE.md
paper1/code/plot_ap_snr.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/plot_ap_snr.py,paper1/REPRODUCE.md
paper1/code/plot_bler_frame.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/plot_bler_frame.py,paper1/README.md;paper1/REPRODUCE.md
paper1/code/plot_feature_importance.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/plot_feature_importance.py,paper1/REPRODUCE.md
paper1/code/plot_oracle_action_dist.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/figures/plot_oracle_action_dist.py,
paper1/code/plot_pareto_payload.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/plot_pareto_payload.py,paper1/REPRODUCE.md
paper1/code/plot_stacked_area.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/plot_stacked_area.py,paper1/REPRODUCE.md
paper1/code/recompute_canonical_f1.py,ALIVE,MOVE,projects/ca_tosg/evaluation/canonical_f1.py,paper1/REPRODUCE.md;paper1/code/extra_experiments/jscc_perframe/score_jscc.py;paper1/code/make_dataset.py
paper1/code/recompute_policy_200seed.py,ALIVE,MOVE,projects/ca_tosg/evaluation/policy_200seed.py,paper1/CLAIMS.md;paper1/PROTOCOL.md;paper1/README.md
paper1/code/regen_ego_only.py,DELETE,DELETE,,
paper1/code/regen_preds_with_scores.py,ALIVE,MOVE,projects/ca_tosg/datasets/regen_preds_with_scores.py,paper1/REPRODUCE.md;paper1/code/extra_experiments/jscc_perframe/jscc_sweep.py
paper1/code/rf_latency_benchmark.py,LIVE-ROOT,SPLIT,projects/ca_tosg/evaluation/latency.py + tools/benchmark_latency.py,paper1/CLAIMS.md;paper1/PROTOCOL.md
paper1/code/run_ego_only.py,ALIVE-DOC,MOVE,projects/ca_tosg/datasets/run_ego_only.py,
paper1/code/snr_decision_plot.py,LIVE-ROOT,MOVE,projects/ca_tosg/evaluation/figures/snr_decision_plot.py,paper1/REPRODUCE.md
paper1/code/step4_collab_harm.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/collab_harm.py,
paper1/code/step4_oracle_action_dist.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/action_dist.py,
paper1/code/test_split_pipeline/01_gen_predictions.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/01_gen_predictions.py,
paper1/code/test_split_pipeline/02_extract_cues_and_f1.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/02_extract_cues_and_f1.py,
paper1/code/test_split_pipeline/03_build_test_dataset.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/03_build_test_dataset.py,
paper1/code/test_split_pipeline/04_eval_rf_on_test.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/04_eval_rf_on_test.py,
paper1/code/test_split_pipeline/05_true_e2e_ap_on_test.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/05_true_e2e_ap_on_test.py,
paper1/code/test_split_pipeline/README.md,ALIVE,MOVE,projects/ca_tosg/datasets/test_split/README.md,paper1/code/plot_pareto_payload.py
paper1/code/test_split_pipeline/extract_test_data.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/extract_test_data.py,
paper1/code/test_split_pipeline/run_all.py,KEEP-P5,MOVE,projects/ca_tosg/datasets/test_split/run_all.py,
paper1/code/train_rf.py,ALIVE,KEEP-UNTIL-P5,projects/ca_tosg/models/train_rf_v3.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md
paper1/code/true_e2e_ap_inference.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/true_e2e_inference.py,
paper1/code/true_e2e_global.py,ALIVE,MOVE,projects/ca_tosg/evaluation/true_e2e_global.py,paper1/CLAIMS.md;paper1/PROTOCOL.md;paper1/REPRODUCE.md
paper1/code/v3_eval.py,DELETE,DELETE,,paper1/REPRODUCE.md
paper1/code/verify_c256_dominance.py,ALIVE,MOVE,projects/ca_tosg/evaluation/verifiers/verify_c256_dominance.py,paper1/CLAIMS.md
paper1/code/verify_frontier_payload_invariance.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/verifiers/verify_frontier_payload_invariance.py,
paper1/code/verify_gamma_mechanism.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/verifiers/verify_gamma_mechanism.py,
paper1/code/verify_harm_stratum_structural.py,KEEP-P5,MOVE,projects/ca_tosg/evaluation/verifiers/verify_harm_stratum_structural.py,
paper1/code/verify_paragraph_insert.py,LIVE-ROOT,MOVE,tests/test_paragraph_insert.py,paper1/PROTOCOL.md;paper1/REPRODUCE.md
paper1/code/where2comm_compare.py,ALIVE,MOVE,baselines/where2comm/compare.py,paper1/REPRODUCE.md
paper1/env_setup/requirements_no_torch_spconv.txt,KEEP-P5,MOVE,requirements-no-torch-spconv.txt,
paper1/env_setup/requirements_py310_safe.txt,KEEP-P5,MOVE,requirements.txt,
paper1/opencood_modifications/README.md,ALIVE,MOVE,docs/opencood_modifications.md,paper1/code/plot_pareto_payload.py
paper1/paper/DRAW_OVERVIEW_FIGURE.md,ALIVE,MOVE,figs/DRAW_OVERVIEW_FIGURE.md,paper1/REPRODUCE.md
paper1/paper/README.md,ALIVE,MOVE,paper/README.md,paper1/code/plot_pareto_payload.py
paper1/paper/figures/README.md,ALIVE,MOVE,paper/figures/README.md,paper1/code/plot_pareto_payload.py
paper1/paper/figures/ca_tosg_method_overview.pdf,ALIVE,MOVE,paper/figures/ca_tosg_method_overview.pdf,paper1/REPRODUCE.md;paper1/paper/main.tex
paper1/paper/figures/ca_tosg_method_overview.svg,KEEP-P5,MOVE,figs/ca_tosg_overview.svg,
paper1/paper/figures/ca_tosg_method_overview_ORIG.pdf,DELETE,DELETE,,
paper1/paper/figures/fig_ap50_awgn.pdf,ALIVE,MOVE,paper/figures/fig_ap50_awgn.pdf,paper1/paper/main.tex
paper1/paper/figures/fig_ap50_awgn.svg,KEEP-P5,MOVE,figs/results/fig_ap50_awgn.svg,
paper1/paper/figures/fig_ap50_rayleigh.pdf,ALIVE,MOVE,paper/figures/fig_ap50_rayleigh.pdf,paper1/paper/main.tex
paper1/paper/figures/fig_ap50_rayleigh.svg,KEEP-P5,MOVE,figs/results/fig_ap50_rayleigh.svg,
paper1/paper/figures/fig_ap70_awgn.svg,DELETE,DELETE,,
paper1/paper/figures/fig_ap70_rayleigh.svg,DELETE,DELETE,,
paper1/paper/figures/fig_channel_bler_frame.pdf,ALIVE,MOVE,paper/figures/fig_channel_bler_frame.pdf,paper1/REPRODUCE.md;paper1/paper/main.tex
paper1/paper/figures/fig_channel_bler_frame.png,KEEP-P5,MOVE,figs/results/fig_channel_bler_frame.png,
paper1/paper/figures/fig_decisions_awgn.pdf,ALIVE,MOVE,paper/figures/fig_decisions_awgn.pdf,paper1/paper/main.tex
paper1/paper/figures/fig_decisions_rayleigh.pdf,ALIVE,MOVE,paper/figures/fig_decisions_rayleigh.pdf,paper1/paper/main.tex
paper1/paper/figures/fig_difficulty.pdf,ALIVE,MOVE,paper/figures/fig_difficulty.pdf,paper1/REPRODUCE.md;paper1/code/extra_experiments/a2_difficulty.py;paper1/paper/main.tex
paper1/paper/figures/fig_feature_importance.pdf,ALIVE,MOVE,paper/figures/fig_feature_importance.pdf,paper1/REPRODUCE.md;paper1/code/plot_feature_importance.py;paper1/paper/main.tex
paper1/paper/figures/fig_pareto_culver.pdf,DELETE,DELETE,,paper1/code/extra_experiments/a1_pareto.py
paper1/paper/figures/fig_pareto_test.pdf,ALIVE,MOVE,paper/figures/fig_pareto_test.pdf,paper1/REPRODUCE.md;paper1/code/extra_experiments/a1_pareto.py;paper1/code/plot_pareto_payload.py
paper1/paper/figures/fig_pareto_test.png,KEEP-P5,MOVE,figs/results/fig_pareto_test.png,
paper1/paper/figures/fig_pareto_validate.pdf,DELETE,DELETE,,paper1/code/extra_experiments/a1_pareto.py
paper1/paper/figures/fig_payload_awgn.pdf,ALIVE,MOVE,paper/figures/fig_payload_awgn.pdf,paper1/REPRODUCE.md;paper1/code/plot_pareto_payload.py;paper1/paper/main.tex
paper1/paper/figures/fig_payload_awgn.png,KEEP-P5,MOVE,figs/results/fig_payload_awgn.png,
paper1/paper/figures/fig_qualitative_bev.pdf,ALIVE,MOVE,paper/figures/fig_qualitative_bev.pdf,paper1/REPRODUCE.md;paper1/paper/main.tex
