file,line,kind,literal,context
README.md,5,relpath_local,paper1/,- **paper1/** — CA-TOSG: Channel-Aware Task-Oriented Semantic Granularity Selection. Complete; self-contained (see `paper1/README.md`).
README.md,5,relpath_local,paper1/README.md,- **paper1/** — CA-TOSG: Channel-Aware Task-Oriented Semantic Granularity Selection. Complete; self-contained (see `paper1/README.md`).
README.md,6,relpath_local,paper2/,- **paper2/** — not started yet.
README.md,7,relpath_local,paper3/,- **paper3/** — not started yet.
paper1/CLAIMS.md,3,relpath_local,paper/main.tex,"Every number-bearing sentence in `paper/main.tex`, one row per claim. **Auto-generated by `code/extract_claims.py`** (ID + Claim + Exact value). Stable `ID` survives re-runs. The s"
paper1/CLAIMS.md,3,relpath_local,code/extract_claims.py,"Every number-bearing sentence in `paper/main.tex`, one row per claim. **Auto-generated by `code/extract_claims.py`** (ID + Claim + Exact value). Stable `ID` survives re-runs. The s"
paper1/CLAIMS.md,5,relpath_other,R6/R7,_Diagnostic note (PROTOCOL R6/R7): the gap between a candidate's OOF payload and its full-retrain (frozen) payload is a training→freeze diagnostic of the selection procedure and mu
paper1/CLAIMS.md,9,relpath_other,CAM/BSM,"| c730257 | We propose Channel-Aware Task-Oriented Semantic Granularity Selection (CA-TOSG), a receiver-driven framework in which the ego vehicle selects the communication granular"
paper1/CLAIMS.md,10,relpath_other,rate-1/2,"| c353df0 | Experiments on the OPV2V dataset (validate, scene-disjoint test, and the Culver-City domain shift) under AWGN and Rayleigh channels show that, when the channel can carr"
paper1/CLAIMS.md,10,relpath_local,results/true_e2e_global_culver.csv,"| c353df0 | Experiments on the OPV2V dataset (validate, scene-disjoint test, and the Culver-City domain shift) under AWGN and Rayleigh channels show that, when the channel can carr"
paper1/CLAIMS.md,10,relpath_local,code/true_e2e_global.py,"| c353df0 | Experiments on the OPV2V dataset (validate, scene-disjoint test, and the Culver-City domain shift) under AWGN and Rayleigh channels show that, when the channel can carr"
paper1/CLAIMS.md,10,relpath_local,results/p2_deploy/true_e2e_ap.csv,"| c353df0 | Experiments on the OPV2V dataset (validate, scene-disjoint test, and the Culver-City domain shift) under AWGN and Rayleigh channels show that, when the channel can carr"
paper1/CLAIMS.md,11,relpath_local,results/p2_latency/latency_frozen.csv,"| c1c08b6 | The deployed selector incurs 52.8 ms per frame on a single CPU core, fitting the 100 ms budget of a 10 Hz LiDAR cycle. | 52.8, 100, 10 | test | latency (ms), batch-1 | "
paper1/CLAIMS.md,11,relpath_local,code/rf_latency_benchmark.py,"| c1c08b6 | The deployed selector incurs 52.8 ms per frame on a single CPU core, fitting the 100 ms budget of a 10 Hz LiDAR cycle. | 52.8, 100, 10 | test | latency (ms), batch-1 | "
